type,uri,dc.id,collection,notation,"prefLabel",altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,type_status,layer,typevoorschrift,typevoorschriften.uitdovend
skos:Concept,ct:01117_00,,,01117_00,"sociaal objectief",,ct:011,,,,,,,,,,,cs:plan_legende,,,,,,,,,ov,ONWAAR,ONWAAR
skos:Concept,ct:02101_00,,,02101_00,"randstedelijk groengebied met dagrecreatieve infrastructuur",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:02101_01,,,02101_01,"randstedelijk groengebied met dagrecreatieve infrastructuur",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:02102_00,,,02102_00,"recreatiegebied",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,L,gv,WAAR,ONWAAR
skos:Concept,ct:02102_01,,,02102_01,"recreatiegebied",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,L,gv,WAAR,ONWAAR
skos:Concept,ct:02102_03,,,02102_03,"recreatiegebied",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,L,detail,WAAR,ONWAAR
skos:Concept,ct:02102_02,,,02102_02,"recreatiegebied",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,L,detail,WAAR,ONWAAR
skos:Concept,ct:02103_01,,,02103_01,"gebied voor dagrecreatie",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:02103_00,,,02103_00,"gebied voor dagrecreatie",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:02104_00,,,02104_00,"gebied voor recreatie vliegen",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:02105_00,,,02105_00,"gebied voor golfterrein",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,L,gv,WAAR,ONWAAR
skos:Concept,ct:02106_00,,,02106_00,"watergebonden recreatie [131_1]",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:02106_01,,,02106_01,"watergebonden recreatie [131_1]",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,ONWAAR,ONWAAR
skos:Concept,ct:X4,,,X4,"gebied voor motocross",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,,,ONWAAR,ONWAAR
skos:Concept,ct:02108_00,,,02108_00,"recreatieve bebouwing",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,,detail,ONWAAR,ONWAAR
skos:Concept,ct:02109_00,,,02109_00,"verblijfsrecreatie in groepen",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:02110_00,,,02110_00,"verblijfsrecreatie",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,,gv,ONWAAR,ONWAAR
skos:Concept,ct:02111_00,,,02111_00,"recreatiebuffer",,ct:021,,,,,,,,,,,cs:plan_legende,,,,,,,,,detail,ONWAAR,ONWAAR
skos:Concept,ct:03102_04,,,03102_04,"natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:03102_02,,,03102_02,"natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:03102_00,,,03102_00,"natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,WAAR,ONWAAR
skos:Concept,ct:03102_01,,,03102_01,"natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,ov,WAAR,ONWAAR
skos:Concept,ct:03102_03,,,03102_03,"natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,detail,WAAR,ONWAAR
skos:Concept,ct:03103_05,,,03103_05,"overstromings- en natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,na,ONWAAR,ONWAAR
skos:Concept,ct:03103_02,,,03103_02,"overstromings- en natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:03103_00,,,03103_00,"overstromings- en natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:03103_01,,,03103_01,"overstromings- en natuurgebied",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:03104_01,,,03104_01,"ecologische infrastructuur",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
skos:Concept,ct:03104_00,,,03104_00,"ecologische infrastructuur",,ct:031,,,,,,,,,,,cs:plan_legende,,,,,,,,d,gv,ONWAAR,ONWAAR
