"uri","type","dc.id","collection","notation","prefLabel","altLabel","broader","broaderTransitive","broadMatch","changeNote","closeMatch","definition","editorialNote","exactMatch","example","hiddenLabel","historyNote","inScheme","mappingRelation","note","related","relatedMatch","scopeNote","semanticRelation","topConceptOf","type_status","layer","typevoorschrift","typevoorschriften.uitdovend"
"ct:05101_04","skos:Concept",,,"05101_04","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:05101_05","skos:Concept",,,"05101_05","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:05101_06","skos:Concept",,,"05101_06","bosgebied",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:05103_00","skos:Concept",,,"05103_00","nabestemming bosgebied [zie rup 10_1 turnhout, art. 16,2]",,"ct:051",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","na","ONWAAR","ONWAAR"
"ct:06","skos:Concept",,"colt:voorschrift_categorie","06","landbouwgebieden",,,,,,,,,,,,,"cs:plan_legende",,,,,,,"cs:plan_legende",,,,
"ct:061","skos:Concept",,"colt:voorschrift_subcategorie","061","landbouwgebieden",,"ct:06",,,,,,,,,,,,,,,,,,,,,,
"ct:06101_00","skos:Concept",,,"06101_00","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_01","skos:Concept",,,"06101_01","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
"ct:06101_02","skos:Concept",,,"06101_02","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","detail","WAAR","ONWAAR"
"ct:06101_03","skos:Concept",,,"06101_03","agrarisch gebied",,"ct:061",,,,,,,,,,,"cs:plan_legende",,,,,,,,"d","gv","WAAR","ONWAAR"
